nodes,run,allocation_time
1,1,9.673832654953003
1,2,9.057268381118774
1,3,8.745673656463623
1,4,8.750246047973633
1,5,8.835863828659058
1,6,9.153585433959961
1,7,9.460587978363037
1,8,8.742778778076172
1,9,9.050522327423096
1,10,8.63999629020691
2,1,9.061057567596436
2,2,8.542709589004517
2,3,8.749540090560913
2,4,8.233232736587524
2,5,8.657850503921509
2,6,8.748217821121216
2,7,8.643433332443237
2,8,8.640350341796875
2,9,8.960588216781616
2,10,8.846768379211426
3,1,9.068323850631714
3,2,8.459658145904541
3,3,9.064302682876587
3,4,8.356746435165405
3,5,8.859314918518066
3,6,9.059959411621094
3,7,8.5539231300354
3,8,8.868398904800415
3,9,8.549386024475098
3,10,8.863438606262207
