workers,run,allocation_time
1,1,9.26285696029663
1,2,8.242257118225098
1,3,8.846457958221436
1,4,8.747130155563354
1,5,8.850002765655518
1,6,9.05542278289795
1,7,8.53911018371582
1,8,8.844221591949463
1,9,8.851319313049316
1,10,8.740074634552002
2,1,11.33180570602417
2,2,8.954760551452637
2,3,8.336055755615234
2,4,9.262535095214844
2,5,8.347963809967041
2,6,9.155374765396118
2,7,8.437764406204224
2,8,8.235679149627686
2,9,8.34251093864441
2,10,8.855290412902832
3,1,9.376282930374146
3,2,8.551222324371338
3,3,9.061402320861816
3,4,8.862871646881104
3,5,9.372093439102173
3,6,8.962770462036133
3,7,9.260533332824707
3,8,10.290351867675781
3,9,8.655048370361328
3,10,8.758635520935059
4,1,9.28225302696228
4,2,9.780164003372192
4,3,9.785026788711548
4,4,9.476473569869995
4,5,8.976075172424316
4,6,9.792979955673218
4,7,9.784968614578247
4,8,9.898094415664673
4,9,9.79172658920288
4,10,9.914698362350464
5,1,10.004166603088379
5,2,9.487102270126343
5,3,9.910754203796387
5,4,10.00014615058899
5,5,9.59093952178955
5,6,9.69554352760315
5,7,9.803900718688965
5,8,9.902764081954956
5,9,9.798548221588135
5,10,9.387381553649902
6,1,10.121937274932861
6,2,9.911441087722778
6,3,10.533680438995361
6,4,10.013147830963135
6,5,10.637989044189453
6,6,10.828510522842407
6,7,12.387034893035889
6,8,10.111594676971436
6,9,9.699172973632812
6,10,9.80806016921997
7,1,10.221827268600464
7,2,10.628248929977417
7,3,10.840715169906616
7,4,10.640140533447266
7,5,10.837754964828491
7,6,10.745820760726929
7,7,10.852015256881714
7,8,10.749829053878784
7,9,10.753431558609009
7,10,10.743491888046265
8,1,13.202446937561035
8,2,10.844180822372437
8,3,10.830167055130005
8,4,10.739097595214844
8,5,10.532421350479126
8,6,10.94940185546875
8,7,11.153566598892212
8,8,10.746671915054321
8,9,10.839168787002563
8,10,10.640571594238281
9,1,10.852991819381714
9,2,10.750317335128784
9,3,10.648376941680908
9,4,10.75253176689148
9,5,10.742842674255371
9,6,10.852080345153809
9,7,10.651805639266968
9,8,10.748819589614868
9,9,10.745132446289062
9,10,10.662635087966919
10,1,10.878109455108643
10,2,10.759859800338745
10,3,10.671903610229492
10,4,10.649185180664062
10,5,10.77965259552002
10,6,10.664266586303711
10,7,10.878784418106079
10,8,10.65639066696167
10,9,10.651214361190796
10,10,10.862266063690186
11,1,10.570403337478638
11,2,10.976808071136475
11,3,11.592875719070435
11,4,11.640670537948608
11,5,10.779258728027344
11,6,10.665355920791626
11,7,10.77546215057373
11,8,10.771545171737671
11,9,10.563270568847656
11,10,10.767298698425293
12,1,10.875021934509277
12,2,11.59613037109375
12,3,10.776933670043945
12,4,13.047759532928467
12,5,11.292227029800415
12,6,10.666433095932007
12,7,10.663990497589111
12,8,10.666953802108765
12,9,10.678097009658813
12,10,10.983583211898804
13,1,11.69901728630066
13,2,11.605121612548828
13,3,10.607245445251465
13,4,10.772059679031372
13,5,10.683127880096436
13,6,10.68784475326538
13,7,10.77872896194458
13,8,11.613219261169434
13,9,10.67451786994934
13,10,10.570746183395386
14,1,11.438855171203613
14,2,11.101691246032715
14,3,13.069964408874512
14,4,11.311536073684692
14,5,13.472379207611084
14,6,10.788420915603638
14,7,10.77525520324707
14,8,13.159369468688965
14,9,11.086864709854126
14,10,10.775940895080566
15,1,10.895329475402832
15,2,11.50657057762146
15,3,10.597333192825317
15,4,10.796449661254883
15,5,11.845952987670898
15,6,11.39704942703247
15,7,10.68514895439148
15,8,10.78111743927002
15,9,13.093082904815674
15,10,11.213069200515747
16,1,10.813686847686768
16,2,11.518731117248535
16,3,10.801660537719727
16,4,11.609519004821777
16,5,11.616110563278198
16,6,13.40803861618042
16,7,11.109508275985718
16,8,11.508055686950684
16,9,10.805250406265259
16,10,11.515202045440674
17,1,10.687961339950562
17,2,13.508850812911987
17,3,10.914880514144897
17,4,11.620042324066162
17,5,11.63540267944336
17,6,11.730225324630737
17,7,11.517176866531372
17,8,13.204120397567749
17,9,11.217817068099976
17,10,11.725215673446655
18,1,11.533315420150757
18,2,11.546689748764038
18,3,10.806140899658203
18,4,11.634511947631836
18,5,11.645934104919434
18,6,11.63619589805603
18,7,11.026155948638916
18,8,11.336719751358032
18,9,11.628056049346924
18,10,13.50757384300232
19,1,10.946004629135132
19,2,11.522927284240723
19,3,11.638885736465454
19,4,11.653825521469116
19,5,11.538693904876709
19,6,11.763557195663452
19,7,13.482428550720215
19,8,13.327907085418701
19,9,11.935119152069092
19,10,13.562166452407837
20,1,10.827060222625732
20,2,11.575328826904297
20,3,11.676051616668701
20,4,11.70179295539856
20,5,11.675565719604492
20,6,11.450202465057373
20,7,11.647878646850586
20,8,11.766957759857178
20,9,11.445060729980469
20,10,13.538597583770752
21,1,10.871424674987793
21,2,11.544912338256836
21,3,11.867172479629517
21,4,11.436112880706787
21,5,11.56482982635498
21,6,11.578105449676514
21,7,11.642502546310425
21,8,11.66976547241211
21,9,11.57260799407959
21,10,11.557729959487915
22,1,11.65511679649353
22,2,11.773091793060303
22,3,11.465703248977661
22,4,11.690690279006958
22,5,11.485689640045166
22,6,13.725903987884521
22,7,11.472977638244629
22,8,12.810900449752808
22,9,11.574840545654297
22,10,11.570080280303955
23,1,11.67338228225708
23,2,11.66810917854309
23,3,11.464752674102783
23,4,11.698816299438477
23,5,11.579115629196167
23,6,11.546276807785034
23,7,11.567509889602661
23,8,11.776449203491211
23,9,11.763233661651611
23,10,11.350574493408203
